State,County,Category Code,Site ID,Proposed Date,HRS_Score,Site_Contaminants,Year,County_Population,Total_Cancer_Count_M/F,Total_Cancer_Count_Female,Total_Cancer_Count_Male,Total_Cancer_Count_Hisp_M/F,Total_Cancer_Count_Hisp_F,Total_Cancer_Count_Hisp_M,Combined_Cancer_Rate
AL,HENRY,MP,406299,1999-01-19,55.61000061,"ALUMINUM,AMMONIA,AROCLOR 1260,ARSENIC,BORON,CADMIUM,CHROMIUM,COPPER,IRON,LEAD,MANGANESE,NITRATE,P,P'-DDT,SELENIUM,THALLIUM,VANADIUM,ZINC",1999,85540.0,577.0,251.0,326.0,,,,457.8
AL,SHELBY,MP,400129,2000-08-24,30.200000760000005,"ALUMINUM,ARSENIC,CADMIUM,COBALT,CYANIDE,IRON,LEAD,MANGANESE,MERCURY,NICKEL,THALLIUM,ZINC",2000,1068492.0,5240.0,2506.0,2734.0,,,,421.8
AR,OUACHITA,MP,604486,2000-02-04,50.0,"1,2-DIHYDROACENAPHTHYLENE,1,2-DIMETHYLBENZENE (O-XYLENE),2,4,5-TRICHLOROPHENOL,2-BUTANONE (METHYL ETHYL KETONE),2-METHYLNAPHTHALENE,4-METHYL-2-PENTANONE (METHYL ISOBUTYL KETONE),9H-CARBAZOLE,9H-FLUORENE,ACENAPHTHYLENE,ACETONE,ALUMINUM,ANTHRACENE,ARSENIC,BARIUM,BENZENE,BENZO(B)FLUORANTHENE,BENZO(GHI)PERYLENE,BENZO(K)FLUORANTHENE,BENZO[A]ANTHRACENE,BENZO[A]PYRENE,CHROMIUM,CHRYSENE,COBALT,COPPER,CRESOL (MIXED ISOMERS),DIBENZO(A,H)ANTHRACENE,DIBENZOFURAN,ETHYLBENZENE,FLUORANTHENE,INDENO(1,2,3-CD)PYRENE,LEAD,MANGANESE,NAPHTHALENE,PENTACHLOROPHENOL,PHENANTHRENE,PHENOL,POLYCYCLIC AROMATIC HYDROCARBONS (PAHS),PYRENE,SELENIUM,TETRACHLOROETHENE,TOLUENE,TRICHLOROETHENE,VANADIUM, METAL AND/OR ALLOY,XYLENE (MIXED ISOMERS)",2000,119142.0,892.0,382.0,510.0,,,,519.9
AR,YELL,MP,603651,1999-04-23,41.93000031,"ARSENIC,PENTACHLOROPHENOL",1999,107747.0,616.0,312.0,304.0,31.0,,,447.6
CA,ALAMEDA,OT,902731,1999-05-10,50.0,"1,1,1-TRICHLOROETHANE,1,1-DICHLOROETHANE,1,1-DICHLOROETHENE,1,2,4-TRIMETHYLBENZENE,1,2-DICHLOROBENZENE,1,2-DICHLOROETHANE,1,2-DICHLOROETHENE (CIS AND TRANS MIXTURE),1,2-DIHYDROACENAPHTHYLENE,1,3,5-TRIMETHYLBENZENE,1,3-DICHLOROBENZENE,1,4-DICHLOROBENZENE,2,3,7,8-TETRACHLORODIBENZO-p-DIOXIN (TCDD),2,4-DIMETHYLPHENOL,2,4-DINITROTOLUENE,2-BUTANONE (METHYL ETHYL KETONE),2-CHLOROPHENOL,2-METHOXY-2-METHYLPROPANE (MTBE),2-METHYLNAPHTHALENE,4-CHLORO-3-METHYLPHENOL,4-METHYL-2-PENTANONE (METHYL ISOBUTYL KETONE),4-METHYLPHENOL (P-CRESOL),4-NITROPHENOL,9H-CARBAZOLE,9H-FLUORENE,ACENAPHTHYLENE,ACETONE,ALDRIN,ALPHA-CHLORDANE,ALPHA-HEXACHLOROCYCLOHEXANE,ALUMINUM,ANTHRACENE,ANTIMONY,AROCLOR 1016,AROCLOR 1254,AROCLOR 1260,ARSENIC,BARIUM,BENZENE,BENZO(B)FLUORANTHENE,BENZO(GHI)PERYLENE,BENZO(K)FLUORANTHENE,BENZO[A]ANTHRACENE,BENZO[A]PYRENE,BENZO[A]PYRENE EQUIVALENTS (BaPEq),BERYLLIUM,BETA-HEXACHLOROCYCLOHEXANE,BIS(2-CHLOROETHYL)ETHER,BIS(2-ETHYLHEXYL)PHTHALATE,BUTYL BENZYL PHTHALATE,BUTYLSTANNANE,CADMIUM,CALCIUM,CARBON DISULFIDE,CESIUM-137,CHLORDANE,CHLOROBENZENE,CHLOROETHANE,CHLOROETHENE (VINYL CHLORIDE),CHLOROFORM,CHLOROMETHANE,CHROMIUM,CHROMIUM(VI),CHRYSENE,CIS-1,2-DICHLOROETHENE,COBALT,COBALT-60,COPPER,CUMENE,CYANIDE,DDT AND METABOLITES,DIBENZO(A,H)ANTHRACENE,DIBENZOFURAN,DIBUTYL PHTHALATE,DIBUTYLTIN,DICHLORODIFLUOROMETHANE,DICHLOROMETHANE (METHYLENE CHLORIDE),DIELDRIN,DIETHYL PHTHALATE,ENDOSULFAN I,ENDOSULFAN II,ENDOSULFAN SULFATE,ENDRIN,ENDRIN ALDEHYDE,ENDRIN KETONE,ETHYLBENZENE,FLUORANTHENE,FLUORIDE,GAMMA-CHLORDANE,GAMMA-HEXACHLOROCYCLOHEXANE (LINDANE),HEPTACHLOR,HEPTACHLOR EPOXIDE,HEXACHLOROBENZENE,INDENO(1,2,3-CD)PYRENE,IRON,LEAD,MAGNESIUM,MANGANESE,MERCURY,METHOXYCHLOR,MOLYBDENUM,N,N-DIPROPYLNITROUS AMIDE,NAPHTHALENE,NICKEL,P,P'-DDD,P,P'-DDE,P,P'-DDT,PENTACHLOROPHENOL,PESTICIDES,PHENANTHRENE,PHENOL,POLYCHLORINATED BIPHENYLS (PCBs),POLYCYCLIC AROMATIC HYDROCARBONS (PAHS),POTASSIUM,PROPYLBENZENE,PYRENE,RADIUM-226,SELENIUM,SILVER,SODIUM,STRONTIUM-90,STYRENE,TETRABUTYLSTANNANE,TETRACHLOROETHENE,TETRAETHYL LEAD,THALLIUM,THORIUM-232,TOLUENE,TRANS-1,2-DICHLOROETHENE,TRICHLOROETHENE,TRICHLOROFLUOROMETHANE,URANIUM-238,VANADIUM,VOC,XYLENE (MIXED ISOMERS),ZINC",1999,8220232.0,34463.0,17854.0,16609.0,4295.0,2289.0,2006.0,385.9
CA,ALAMEDA,OT,905334,2003-04-30,50.0,VOC,2003,8316777.0,36214.0,18830.0,17384.0,4593.0,2480.0,2113.0,383.0
CA,LOS ANGELES,MP,901293,2000-12-01,47.11999893,"1,2,4-TRIMETHYLBENZENE,1,2-DICHLOROBENZENE,1,2-DICHLOROETHENE (CIS AND TRANS MIXTURE),1,3,5-TRIMETHYLBENZENE,1,4-DICHLOROBENZENE,ARSENIC,BENZENE,BENZO(B)FLUORANTHENE,BENZO(K)FLUORANTHENE,BENZO[A]ACEANTHRYLENE,BENZO[A]ANTHRACENE,BENZO[A]PYRENE,BUTAN-2-YLBENZENE,CHLOROBENZENE,COPPER,CUMENE,CYCLOHEXANE,DICHLOROMETHANE (METHYLENE CHLORIDE),ETHYLBENZENE,HYDROGEN SULFIDE,INDENO(1,2,3-CD)PYRENE,N,N-DIPHENYLNITROUS AMIDE,NAPHTHALENE,NOT PROVIDED,P,P'-DDT,PHENANTHRENE,PROPYLBENZENE,STYRENE,TETRACHLOROETHENE,TOLUENE,TOTAL PETROLEUM HYDROCARBON -DIESEL,TOTAL PETROLEUM HYDROCARBONS (TPH),TRICHLOROETHANE (MIXED ISOMERS),TRICHLOROETHENE,VOC,XYLENE (MIXED ISOMERS)",2000,50337628.0,203862.0,106534.0,97328.0,,,,376.0
CA,LOS ANGELES,MP,904950,1998-07-28,45.22999954,"1,1,2-TRICHLOROETHANE,1,1-DICHLOROETHANE,1,1-DICHLOROETHENE,1,2-DIBROMO-3-CHLOROPROPANE,1,2-DIBROMOETHANE,1,2-DICHLOROETHANE,1,4-DIOXANE,2-METHOXY-2-METHYLPROPANE (MTBE),3,5,5-TRIMETHYLCYCLOHEX-2-EN-1-ONE,4-METHYL-2-PENTANONE (METHYL ISOBUTYL KETONE),9H-CARBAZOLE,ACETONE,ACETONITRILE,ALUMINUM,ANTIMONY,ARSENIC,BARIUM,BENZENE,BENZO(B)FLUORANTHENE,BENZO(K)FLUORANTHENE,BENZO[A]ANTHRACENE,BENZO[A]PYRENE,BIS(2-ETHYLHEXYL)PHTHALATE,CADMIUM,CHLOROETHANE,CHLOROETHENE (VINYL CHLORIDE),CHLOROFORM,CHLOROMETHANE,CHROMIUM,CHRYSENE,CIS-1,2-DICHLOROETHENE,DIBENZO(A,H)ANTHRACENE,DIBROMOCHLOROMETHANE,DICHLOROMETHANE (METHYLENE CHLORIDE),ETHYLBENZENE,INDENO(1,2,3-CD)PYRENE,IRON,LEAD,MANGANESE,NAPHTHALENE,NICKEL,SELENIUM,SULFIDE,TETRACHLOROETHENE,THALLIUM,TOLUENE,TRANS-1,2-DICHLOROETHENE,TRICHLOROETHENE,XYLENE (MIXED ISOMERS)",1998,50382849.0,199696.0,103975.0,95721.0,57302.0,31429.0,25873.0,380.3
CA,LOS ANGELES,MP; MT; RE; WM,903349,1998-09-29,30.94000053,"1,1,1-TRICHLOROETHANE,1,1,2-TRICHLORO-1,2,2-TRIFLUOROETHANE,1,1,2-TRICHLOROETHANE,1,1-DICHLOROETHANE,1,1-DICHLOROETHENE,1,2-DICHLOROETHANE,1,4-DIOXANE,CARBON TETRACHLORIDE,CHLOROFORM,CHROMIUM(VI),CIS-1,2-DICHLOROETHENE,TETRACHLOROETHENE,TRICHLOROETHENE,TRICHLOROFLUOROMETHANE",1998,50382849.0,199696.0,103975.0,95721.0,57302.0,31429.0,25873.0,380.3
CA,LOS ANGELES,RE,903253,2001-01-11,50.0,"1,1-DICHLOROETHANE,1,1-DICHLOROETHENE,1,2,3-TRICHLOROPROPANE,1,2-DICHLOROETHANE,1,2-DICHLOROPROPANE,AROCLOR 1254,AROCLOR 1260,BENZENE,BENZO(B)FLUORANTHENE,BENZO(K)FLUORANTHENE,BENZO[A]ANTHRACENE,BENZO[A]PYRENE,CHLOROETHENE (VINYL CHLORIDE),CHRYSENE,CIS-1,2-DICHLOROETHENE,DIBENZO(A,H)ANTHRACENE,DIELDRIN,INDENO(1,2,3-CD)PYRENE,LEAD,TETRACHLOROETHENE,TRANS-1,2-DICHLOROETHENE,TRICHLOROETHENE",2001,50203411.0,202284.0,105649.0,96635.0,,,,367.6
